ds,yhat,yhat_lower,yhat_upper
2026-08-11,-4332.355883357444,-13446.431124139835,4709.622011031443
2026-08-12,-660.8619401599312,-9880.622691308079,8280.56084292549
2026-08-13,-2272.49335688261,-11003.07119685283,6561.220143717578
2026-08-14,-4365.847466348231,-13143.506985645141,3929.210420473457
2026-08-15,-8.126369218455523,-9081.25017660671,8455.659182972671
2026-08-16,-4388.175380878993,-13421.119670420796,4147.420529626702
2026-08-17,12515.555785003808,3221.4595647923547,21392.096585784504
2026-08-18,-4410.503321847859,-13850.81201003296,4670.123860103271
2026-08-19,-739.0093786911114,-9440.543151655038,7504.685467637778
2026-08-20,-2350.6407953929156,-10936.2291430603,7684.304556203728
2026-08-21,-4443.994904840319,-13629.168179921428,3964.853807793702
2026-08-22,-86.27380773246222,-8774.899466756493,8984.01129621155
2026-08-23,-4466.322819398459,-13799.7017428203,4091.2042167967525
2026-08-24,12437.408346479859,4566.625951236769,21387.789875163944
2026-08-25,-4488.650760370482,-12907.93806793251,3899.10411524721
2026-08-26,-817.1568171840663,-9766.140516738544,8188.679265725721
2026-08-27,-2428.788233903221,-11715.538790765015,6587.762375662614
2026-08-28,-4522.142343374735,-13373.72565297928,4741.420558650112
2026-08-29,-164.42124625244475,-9357.828082060216,8164.057351917574
2026-08-30,-4544.470257966228,-12910.011902244598,4386.146418605851
2026-08-31,12359.260907961241,3609.5917876015,21920.243686469043
2026-09-01,-4566.79819891728,-13546.931618312605,3897.3738830660795
2026-09-02,-895.3042557152453,-9822.342254698708,8148.470945989668
2026-09-03,-2506.93567242342,-11737.12629184318,6331.971847372342
2026-09-04,-4600.289781909152,-13476.000573520208,4456.021829771334
2026-09-05,-242.56868476645002,-9332.855513045528,8237.439790663948
2026-09-06,-4622.617696471134,-14072.106409735476,3519.8552338444156
2026-09-07,12281.113469437289,3902.374437115425,21541.136173865067
2026-09-08,-4644.945637439905,-13554.162794577132,3795.879598870308
2026-09-09,-973.4516942453232,-10263.48114116154,7771.680362537982
